,0,1
140_-40_7_0,-0.0018322664383152419,-0.0028820649466266
140_-50_8_0,-169.90787215342792,-0.0010219158031590275
140_-60_9_0,0.0,0.0
130_-70_10_0,-1130.1424142550297,-220.66014749999133
130_-80_10_0,-688.3600000000099,-684.730000000013
130_-90_10_0,-688.3600000000099,0.0
280_-20_-9_0,-0.00012592553381729626,-0.00016980829206447896
280_-10_-8_0,-0.0001644605606030659,-0.00030210191079208854
280_-10_-7_0,-0.00012721975312249072,-0.00013038534235527814
280_0_-6_0,-0.00014886884640836096,-0.00016496845179499037
280_0_-5_0,-0.00014338128591397895,-0.00016840703280183907
280_10_-4_0,-0.00019589751542781154,-0.00021350762161977227
280_10_-3_0,-0.0001329374057773866,-0.00017178057181904872
280_10_-2_0,-0.00011401940966818613,-0.00040951208589622373
280_10_-1_0,-0.00013662663753443842,-0.0001590444361077427
280_10_0_0,-0.00020079381209847194,-0.00022666001599763676
280_10_1_0,-0.0003053402334654367,-0.000323757961612305
280_10_2_0,-0.000507047547959969,-0.0005565266159377546
280_10_3_0,-0.0005949338367020528,-0.0006364880028286861
210_0_4_0,-0.0009643356581941744,-0.0024789043466249697
210_0_5_0,-0.0006850537984087498,-0.0008738682134470929
210_-10_6_0,-0.0004882557427122051,-0.0005199820280924713
210_-10_7_0,-0.0006899978423865736,-0.0007135051029341099
210_-20_8_0,-0.0007824334929543769,-0.0007882801543602049
210_-30_9_0,-0.0008682826398566961,-0.0008946639336151298
210_-40_-7_0,-4.970211595366384e-05,-0.00013502431371251018
210_-30_-6_0,-0.00020154031500837247,-0.00020310561984519422
210_-30_-5_0,-6.0304086467952783e-05,-7.214199036569788e-05
210_-20_-4_0,-0.000337727937477789,-0.000420478821438472
210_-20_-3_0,-5.212282933622959e-05,-7.775013141270523e-05
210_-20_-2_0,-8.235676797607651e-05,-0.00017643064236669113
210_-20_-1_0,-7.897508071526636e-05,-0.00018868535527514216
140_-70_10_0,-1.237698809344086e-11,0.0
140_-80_10_0,-27.119047968066578,-4.506423265866127e-05
140_-90_10_0,-271.87402710996224,-642.4900000000489
140_-80_-7_0,0.0,0.0
130_-70_-6_0,0.0,0.0
130_-70_-5_0,0.0,0.0
130_-60_-4_0,0.0,0.0
120_-60_-3_0,0.0,0.0
120_-60_-2_0,0.0,0.0
110_-60_-1_0,0.0,0.0
110_-60_0_0,0.0,0.0
110_-60_1_0,0.0,0.0
100_-60_2_0,-2.746692126944212e-05,0.0
100_-60_3_0,-3.8265350706193174e-10,0.0
90_-70_4_0,0.0,0.0
90_-70_5_0,-9.643101498610266e-10,-100.00350791732536
90_-80_6_0,-6.26582293606905e-09,-0.0018882955894248062
80_-80_7_0,-7.869513456111859e-05,-100.0002228549719
80_-90_8_0,-0.0014789332785748136,-0.004997449469115464
70_-100_9_0,-2.4055832710461464,-0.015474525463333463
70_-110_10_0,-22.384889519362215,-533.5900000001415
70_-120_10_0,-61.12076157111704,-538.1500000001375
60_-130_10_0,-161.9146519491416,-554.110000000124
60_-140_10_0,-333.42713397510573,0.0
50_-150_10_0,-686.2600000000116,-298.1935439999319
50_-160_10_0,-686.2600000000116,-235.57452911996467
280_60_-9_0,-0.004119547113902288,-0.0052272665330851415
280_70_-8_0,-0.0029333304131879826,-0.00406679129027432
